"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","日最高紫外線指數","日最高紫外線指數時間(LST)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","UVI Max","UVI Max Time"
"01","1012.6","1015.7","1014.3","2025/11/01 20:10:00","1010.4","2025/11/01 14:17:00","25.6","29.4","2025/11/01 13:11:00","22.0","2025/11/01 05:34:00","19.4","69","49","2025/11/01 13:52:00","2.5","10","10.4","360","2025/11/01 00:10:00","0.0","0.0","0.0","--","0.0","--","9.1","81.4","18.07","6","2025/11/01 12:00:00"
"02","1013.4","1016.5","1014.9","2025/11/02 22:55:00","1010.9","2025/11/02 15:19:00","26.0","29.8","2025/11/02 15:33:00","23.5","2025/11/02 23:59:00","19.1","66","56","2025/11/02 12:01:00","3.0","10","8.8","360","2025/11/02 18:33:00","0.0","0.0","0.0","--","0.0","--","4.1","36.8","14.96","6","2025/11/02 12:00:00"
"03","1013.7","1016.8","1015.3","2025/11/03 08:40:00","1011.7","2025/11/03 13:08:00","25.3","30.4","2025/11/03 13:18:00","22.5","2025/11/03 02:49:00","18.2","65","49","2025/11/03 11:35:00","2.8","360","8.5","300","2025/11/03 13:46:00","0.0","0.0","0.0","--","0.0","--","8.7","78.1","18.06","7","2025/11/03 12:00:00"
"04","1011.9","1015.0","1013.7","2025/11/04 00:01:00","1010.1","2025/11/04 13:47:00","24.8","29.6","2025/11/04 11:54:00","21.9","2025/11/04 02:53:00","19.5","73","54","2025/11/04 11:30:00","3.2","360","10.5","20","2025/11/04 16:39:00","0.0","0.0","0.0","--","0.0","--","8.5","76.4","18.32","6","2025/11/04 12:00:00"
"05","1008.8","1011.9","1010.8","2025/11/05 08:47:00","1006.7","2025/11/05 15:07:00","25.3","30.7","2025/11/05 13:15:00","21.5","2025/11/05 06:12:00","20.5","76","53","2025/11/05 12:45:00","3.4","360","9.6","360","2025/11/05 20:05:00","0.0","0.0","0.0","--","0.0","--","9.6","86.5","17.51","7","2025/11/05 12:00:00"
"06","1009.9","1013.0","1011.7","2025/11/06 23:18:00","1008.2","2025/11/06 14:50:00","26.4","30.1","2025/11/06 12:14:00","22.7","2025/11/06 06:18:00","21.4","74","60","2025/11/06 11:48:00","2.0","20","6.2","350","2025/11/06 00:47:00","0.0","0.0","0.0","--","0.0","--","10.2","92.0","18.28","6","2025/11/06 12:00:00"
"07","1012.1","1015.2","1013.8","2025/11/07 09:07:00","1010.7","2025/11/07 14:31:00","26.8","29.8","2025/11/07 13:13:00","24.7","2025/11/07 02:21:00","22.5","78","62","2025/11/07 10:33:00","2.1","20","6.9","320","2025/11/07 14:55:00","0.0","0.0","0.0","--","0.0","--","8.4","75.9","16.74","5","2025/11/07 13:00:00"
"08","1011.5","1014.6","1013.3","2025/11/08 09:06:00","1009.7","2025/11/08 15:12:00","26.4","29.2","2025/11/08 11:29:00","24.4","2025/11/08 05:23:00","22.5","80","65","2025/11/08 13:33:00","1.8","20","6.1","220","2025/11/08 13:19:00","0.0","0.0","0.0","--","0.0","--","7.4","67.0","16.63","6","2025/11/08 12:00:00"
"09","1006.8","1009.9","1010.3","2025/11/09 00:01:00","1004.0","2025/11/09 14:37:00","26.3","30.0","2025/11/09 11:37:00","24.3","2025/11/09 05:10:00","22.4","80","60","2025/11/09 11:38:00","2.6","360","7.7","10","2025/11/09 21:58:00","0.0","0.0","0.0","--","0.0","--","5.3","48.0","13.09","5","2025/11/09 11:00:00"
