Seq,縣市,區別,監測週期,陽性率,總卵粒數
1,67000,67000370,114年第10週,8.33%,501
2,67000,67000270,114年第10週,11.46%,579
3,67000,67000340,114年第10週,4.55%,422
4,67000,67000310,114年第10週,10.08%,843
5,67000,67000360,114年第10週,8.33%,177
6,67000,67000350,114年第10週,7.68%,673
7,67000,67000320,114年第10週,4.07%,478
8,67000,67000330,114年第10週,8.11%,777
9,67000,67000010,114年第10週,4.17%,85
10,67000,67000280,114年第10週,9.52%,200
11,67000,67000370,114年第11週,10.00%,549
12,67000,67000270,114年第11週,22.92%,1617
13,67000,67000340,114年第11週,6.57%,535
14,67000,67000310,114年第11週,17.05%,1789
15,67000,67000360,114年第11週,16.67%,473
16,67000,67000350,114年第11週,15.03%,1570
17,67000,67000320,114年第11週,8.33%,880
18,67000,67000330,114年第11週,12.16%,1492
19,67000,67000010,114年第11週,5.56%,79
20,67000,67000280,114年第11週,13.10%,332
21,67000,67000370,114年第12週,12.92%,674
22,67000,67000270,114年第12週,31.77%,1926
23,67000,67000340,114年第12週,9.09%,884
24,67000,67000310,114年第12週,21.90%,2182
25,67000,67000360,114年第12週,22.44%,709
26,67000,67000350,114年第12週,23.86%,2649
27,67000,67000320,114年第12週,7.96%,606
28,67000,67000330,114年第12週,14.41%,2080
29,67000,67000010,114年第12週,6.94%,157
30,67000,67000280,114年第12週,28.57%,861
31,67000,67000370,114年第13週,10.42%,600
32,67000,67000270,114年第13週,23.96%,1591
33,67000,67000340,114年第13週,6.82%,510
34,67000,67000310,114年第13週,16.86%,1674
35,67000,67000360,114年第13週,16.67%,725
36,67000,67000350,114年第13週,17.65%,1949
37,67000,67000320,114年第13週,7.59%,821
38,67000,67000330,114年第13週,10.81%,1369
39,67000,67000010,114年第13週,8.33%,149
40,67000,67000280,114年第13週,14.29%,217
41,67000,67000370,114年第14週,13.75%,888
42,67000,67000270,114年第14週,30.73%,2085
43,67000,67000340,114年第14週,10.86%,1171
44,67000,67000310,114年第14週,22.67%,2632
45,67000,67000360,114年第14週,19.23%,919
46,67000,67000350,114年第14週,23.53%,3259
47,67000,67000320,114年第14週,9.07%,1175
48,67000,67000330,114年第14週,11.26%,1382
49,67000,67000010,114年第14週,8.33%,211
50,67000,67000280,114年第14週,17.86%,359
51,67000,67000370,114年第15週,16.25%,1124
52,67000,67000270,114年第15週,24.48%,1649
53,67000,67000340,114年第15週,10.61%,1261
54,67000,67000310,114年第15週,22.09%,2599
55,67000,67000360,114年第15週,19.87%,967
56,67000,67000350,114年第15週,25.65%,4561
57,67000,67000320,114年第15週,11.48%,1316
58,67000,67000330,114年第15週,13.29%,1868
